Дата,Блок,Wort,Artikel,Plural,Übersetzung,Beispiel,Übersetzung Beispiel,Anki: Front (авто),Anki: Back (авто),Уровень,Следующий показ,Всего попыток,Правильно,Подтемы
21.07.2026,1. Hallo! Wie geht's?,vhs_Lektion 1_Hallo! Wie geht_s_,-,-,Привет! Как дела?,Hallo! Wie geht's dir?,Привет! Как твои дела?,,,1,21.07.2026,0,0,
10.07.2026,1. Hallo! Wie geht's?,Afghanistan,-,-,Афганистан,Ich komme aus Afghanistan.,Я из Афганистана.,Afghanistan | Ich komme aus Afghanistan.,Афганистан | Я из Афганистана.,1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,Irak,der,-,Ирак,Ich wohne im Irak.,Я живу в Ираке.,der Irak | Ich wohne im Irak.,Ирак | Я живу в Ираке.,1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,Eritrea,-,-,Эритрея,Eritrea liegt in Afrika.,Эритрея находится в Африке.,Eritrea | Eritrea liegt in Afrika.,Эритрея | Эритрея находится в Африке.,1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,Ukraine,die,-,Украина,Ich wohne in der Ukraine.,Я живу в Украине.,die Ukraine | Ich wohne in der Ukraine.,Украина | Я живу в Украине.,1,21.07.2026,0,0,1. Знакомство_Hallo!
09.07.2026,1. Hallo! Wie geht's?,Iran,der,-,Иран,Mein Freund kommt aus dem Iran.,Мой друг родом из Ирана.,der Iran | Mein Freund kommt aus dem Iran.,Иран | Мой друг родом из Ирана.,1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,du / Sie,-,-,ты / Вы,Wie heißt du? / Wie heißen Sie?,Как тебя зовут? / Как Вас зовут?,du / Sie | Wie heißt du? / Wie heißen Sie?,ты / Вы | Как тебя зовут? / Как Вас зовут?,1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,gut,-,-,хороший,Das Essen ist sehr gut.,Еда очень хорошая.,gut | Das Essen ist sehr gut.,хороший | Еда очень хорошая.,1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,sehr gut,-,-,очень хорошо,Das Essen ist sehr gut.,Еда очень хорошая.,sehr gut | Das Essen ist sehr gut.,очень хорошо | Еда очень хорошая.,1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,schlecht,-,-,плохой,Das Wetter ist heute schlecht.,Погода сегодня плохая.,schlecht | Das Wetter ist heute schlecht.,плохой | Погода сегодня плохая.,1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,super,-,-,"супер, отличный",Das Wetter ist heute super.,Погода сегодня супер.,super | Das Wetter ist heute super.,"супер, отличный | Погода сегодня супер.",1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,es geht,-,-,"пойдет, сойдет, дела идут",Wie geht es dir? – Es geht.,Как у тебя дела? – Пойдет.,es geht | Wie geht es dir? – Es geht.,"пойдет, сойдет, дела идут | Как у тебя дела? – Пойдет.",1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,nicht so gut,-,-,не так хорошо,Mir geht es heute nicht so gut.,Я сегодня чувствую себя не так хорошо.,nicht so gut | Mir geht es heute nicht so gut.,не так хорошо | Я сегодня чувствую себя не так хорошо.,1,21.07.2026,0,0,1. Знакомство_Hallo!
09.07.2026,1. Hallo! Wie geht's?,auch,-,-,"тоже, также",Ich komme auch.,Я тоже приду.,auch | Ich komme auch.,"тоже, также | Я тоже приду.",1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,Sprache,die,die Sprachen,язык,Ich lerne die deutsche Sprache.,Я учу немецкий язык.,die Sprache | Ich lerne die deutsche Sprache.,язык | Я учу немецкий язык.,1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,sprechen,-,-,"говорить, разговаривать",Ich spreche ein bisschen Deutsch.,Я немного говорю по-немецки.,sprechen | Ich spreche ein bisschen Deutsch.,"говорить, разговаривать | Я немного говорю по-немецки.",1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,Dari,-,-,Дари (язык),Er spricht Dari.,Он говорит на дари.,Dari | Er spricht Dari.,Дари (язык) | Он говорит на дари.,1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,Italienisch,-,-,итальянский (язык),Ich lerne Italienisch.,Я учу итальянский.,Italienisch | Ich lerne Italienisch.,итальянский (язык) | Я учу итальянский.,1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,Arabisch,-,-,арабский (язык),Ich lerne Arabisch.,Я учу арабский язык.,Arabisch | Ich lerne Arabisch.,арабский (язык) | Я учу арабский язык.,1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,Paschtu,-,-,пушту (язык),Er spricht Paschtu.,Он говорит на пушту.,Paschtu | Er spricht Paschtu.,пушту (язык) | Он говорит на пушту.,1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,ein bisschen,-,-,немного,Ich spreche ein bisschen Deutsch.,Я немного говорю по-немецки.,ein bisschen | Ich spreche ein bisschen Deutsch.,немного | Я немного говорю по-немецки.,1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,ja / nein,-,-,да / нет,"Ja, ich komme. Nein, ich habe keine Zeit.","Да, я приду. Нет, у меня нет времени.","ja / nein | Ja, ich komme. Nein, ich habe keine Zeit.","да / нет | Да, я приду. Нет, у меня нет времени.",1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,Tschüss,-,-,пока,"Tschüss, bis morgen!","Пока, до завтра!","Tschüss | Tschüss, bis morgen!","пока | Пока, до завтра!",1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,2. Meine Familie und ich,vhs_Lektion 2_Meine Familie und ich,-,Lektionen,урок,Wir lernen Lektion 2.,Мы учим урок 2.,Lektion 2_Meine Familie und Ich | Wir lernen Lektion 2.,урок | Мы учим урок 2.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,Familie,die,die Familien,семья,Ich liebe meine Familie.,Я люблю свою семью.,die Familie | Ich liebe meine Familie.,семья | Я люблю свою семью.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,Kind,das,die Kinder,ребенок,Das Kind spielt im Garten.,Ребенок играет в саду.,das Kind | Das Kind spielt im Garten.,ребенок | Ребенок играет в саду.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,wir,-,-,мы,Wir lernen Deutsch.,Мы учим немецкий.,wir | Wir lernen Deutsch.,мы | Мы учим немецкий.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,ihr,-,-,вы (обращение к группе людей) / её (притяжательное местоимение),Wie heißt ihr?,Как вас зовут?,ihr | Wie heißt ihr?,вы (обращение к группе людей) / её (притяжательное местоимение) | Как вас зовут?,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,er,-,-,он,Er heißt Max.,Его зовут Макс.,er | Er heißt Max.,он | Его зовут Макс.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,sie,-,-,она / они / Вы (вежливая форма),Sie ist meine Freundin.,Она — моя подруга.,sie | Sie ist meine Freundin.,она / они / Вы (вежливая форма) | Она — моя подруга.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,Mann,der,die Männer,мужчина,Der Mann ist mein Vater.,Этот мужчина — мой отец.,der Mann | Der Mann ist mein Vater.,мужчина | Этот мужчина — мой отец.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,Sohn,der,die Söhne,сын,Ich habe einen Sohn.,У меня есть сын.,der Sohn | Ich habe einen Sohn.,сын | У меня есть сын.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,Tochter,die,die Töchter,дочь,Meine Tochter ist sechs Jahre alt.,Моей дочери шесть лет.,die Tochter | Meine Tochter ist sechs Jahre alt.,дочь | Моей дочери шесть лет.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,Eltern,die,die Eltern,родители,Meine Eltern wohnen in Berlin.,Мои родители живут в Берлине.,die Eltern | Meine Eltern wohnen in Berlin.,родители | Мои родители живут в Берлине.,2,29.07.2026,1,1,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,Vater,der,die Väter,отец,Mein Vater heißt Hans.,Моего отца зовут Ханс.,der Vater | Mein Vater heißt Hans.,отец | Моего отца зовут Ханс.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,Schwester,die,die Schwestern,сестра,Meine Schwester heißt Anna.,Мою сестру зовут Анна.,die Schwester | Meine Schwester heißt Anna.,сестра | Мою сестру зовут Анна.,2,29.07.2026,1,1,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,Bruder,der,die Brüder,брат,Mein Bruder heißt Lukas.,Моего брата зовут Лукас.,der Bruder | Mein Bruder heißt Lukas.,брат | Моего брата зовут Лукас.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,mein,-,-,"мой, моя",Das ist meine Mutter.,Это моя мама.,mein | Das ist meine Mutter.,"мой, моя | Это моя мама.",1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,dein,-,-,"твой, твоя",Das ist dein Buch.,Это твоя книга.,dein | Das ist dein Buch.,"твой, твоя | Это твоя книга.",1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,verheiratet,-,-,женат / замужем,Ich bin verheiratet.,Я женат / Я замужем.,verheiratet | Ich bin verheiratet.,женат / замужем | Я женат / Я замужем.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,ledig,-,-,"холостой, неженатый, незамужняя",Ich bin ledig.,Я холост / Я не замужем.,ledig | Ich bin ledig.,"холостой, неженатый, незамужняя | Я холост / Я не замужем.",1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,eins,-,-,один,Ich habe nur eins.,У меня есть только один.,eins | Ich habe nur eins.,один | У меня есть только один.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,zwei,-,-,два,Ich habe zwei Äpfel.,У меня есть два яблока.,zwei | Ich habe zwei Äpfel.,два | У меня есть два яблока.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,drei,-,-,три,Ich habe drei Äpfel.,У меня есть три яблока.,drei | Ich habe drei Äpfel.,три | У меня есть три яблока.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,vier,-,-,четыре,Ich habe vier Äpfel.,У меня есть четыре яблока.,vier | Ich habe vier Äpfel.,четыре | У меня есть четыре яблока.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,fünf,-,-,пять,Ich habe fünf Äpfel.,У меня есть пять яблок.,fünf | Ich habe fünf Äpfel.,пять | У меня есть пять яблок.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,sechs,-,-,шесть,Ich habe sechs Äpfel.,У меня есть шесть яблок.,sechs | Ich habe sechs Äpfel.,шесть | У меня есть шесть яблок.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,sieben,-,-,семьдесят шесть,Ich bin sechsundsiebzig Jahre alt.,Мне семьдесят шесть лет.,sieben | Ich bin sechsundsiebzig Jahre alt.,семьдесят шесть | Мне семьдесят шесть лет.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,acht,-,-,восемь,Ich bin acht Jahre alt.,Мне восемь лет.,acht | Ich bin acht Jahre alt.,восемь | Мне восемь лет.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,neun,-,-,девять,Ich habe neun Äpfel.,У меня девять яблок.,neun | Ich habe neun Äpfel.,девять | У меня девять яблок.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,zehn,-,-,десять,Ich habe zehn Äpfel.,У меня есть десять яблок.,zehn | Ich habe zehn Äpfel.,десять | У меня есть десять яблок.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,elf,-,-,одиннадцать,Ich bin elf Jahre alt.,Мне одиннадцать лет.,elf | Ich bin elf Jahre alt.,одиннадцать | Мне одиннадцать лет.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,zwölf,-,-,двенадцать,Ich bin zwölf Jahre alt.,Мне двенадцать лет.,zwölf | Ich bin zwölf Jahre alt.,двенадцать | Мне двенадцать лет.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,sechzehn,-,-,шестнадцать,Ich bin sechzehn Jahre alt.,Мне шестнадцать лет.,sechzehn | Ich bin sechzehn Jahre alt.,шестнадцать | Мне шестнадцать лет.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,siebzehn,-,-,семнадцать,Ich bin siebzehn Jahre alt.,Мне семнадцать лет.,siebzehn | Ich bin siebzehn Jahre alt.,семнадцать | Мне семнадцать лет.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,zwanzig,-,-,двадцать,Ich bin zwanzig Jahre alt.,Мне двадцать лет.,zwanzig | Ich bin zwanzig Jahre alt.,двадцать | Мне двадцать лет.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,geschieden,-,-,разведенный,Er ist geschieden.,Он разведен.,geschieden | Er ist geschieden.,разведенный | Он разведен.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,Vorname,der,die Vornamen,имя,Wie ist dein Vorname?,Как тебя зовут (какое твое имя)?,der Vorname | Wie ist dein Vorname?,имя | Как тебя зовут (какое твое имя)?,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,Großmutter (Oma) (Omas),die,die Großmütter (Omas),бабушка,Meine Oma backt einen Kuchen.,Моя бабушка печет пирог.,die Großmutter (Oma) (Omas) | Meine Oma backt einen Kuchen.,бабушка | Моя бабушка печет пирог.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,Großvater (Opa),der,die Großväter (Opas),дедушка,Mein Opa ist sehr nett.,Мой дедушка очень милый.,der Großvater (Opa) | Mein Opa ist sehr nett.,дедушка | Мой дедушка очень милый.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,Tante,die,die Tanten,тетя,Meine Tante wohnt in Berlin.,Моя тетя живет в Берлине.,die Tante | Meine Tante wohnt in Berlin.,тетя | Моя тетя живет в Берлине.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,Onkel,der,die Onkel,дядя,Mein Onkel heißt Hans.,Моего дядю зовут Ханс.,der Onkel | Mein Onkel heißt Hans.,дядя | Моего дядю зовут Ханс.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,Cousin,der,die Cousins,двоюродный брат,Mein Cousin heißt Lukas.,Моего двоюродного брата зовут Лукас.,der Cousin | Mein Cousin heißt Lukas.,двоюродный брат | Моего двоюродного брата зовут Лукас.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,Cousine,der,die Cousinen,двоюродная сестра,Meine Cousine heißt Anna.,Мою двоюродную сестру зовут Анна.,der Cousine | Meine Cousine heißt Anna.,двоюродная сестра | Мою двоюродную сестру зовут Анна.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,Familienname Nachname,der,"die Familiennamen, die Nachnamen",фамилия,Wie ist Ihr Familienname?,Какая у вас фамилия?,der Familienname Nachname | Wie ist Ihr Familienname?,фамилия | Какая у вас фамилия?,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,Familienstand,der,die Familienstände,семейное положение,Wie ist Ihr Familienstand?,Какое у вас семейное положение?,der Familienstand | Wie ist Ihr Familienstand?,семейное положение | Какое у вас семейное положение?,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,Straße,die,die Straßen,улица,Die Straße ist sehr lang.,Улица очень длинная.,die Straße | Die Straße ist sehr lang.,улица | Улица очень длинная.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,Hausnummer,die,die Hausnummern,номер дома,Wie ist Ihre Hausnummer?,Какой у вас номер дома?,die Hausnummer | Wie ist Ihre Hausnummer?,номер дома | Какой у вас номер дома?,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,einundzwanzig,-,-,двадцать один,Ich bin einundzwanzig Jahre alt.,Мне двадцать один год.,einundzwanzig | Ich bin einundzwanzig Jahre alt.,двадцать один | Мне двадцать один год.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,dreißig,-,-,тридцать,Ich bin dreißig Jahre alt.,Мне тридцать лет.,dreißig | Ich bin dreißig Jahre alt.,тридцать | Мне тридцать лет.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,siebzig,-,-,семьдесят,Mein Opa ist siebzig Jahre alt.,Моему дедушке семьдесят лет.,siebzig | Mein Opa ist siebzig Jahre alt.,семьдесят | Моему дедушке семьдесят лет.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,hundert,-,-,сто,Ich habe hundert Euro.,У меня есть сто евро.,hundert | Ich habe hundert Euro.,сто | У меня есть сто евро.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,Alter,das,die Alter,возраст,Wie alt bist du? Ich frage nach deinem Alter.,Сколько тебе лет? Я спрашиваю о твоем возрасте.,das Alter | Wie alt bist du? Ich frage nach deinem Alter.,возраст | Сколько тебе лет? Я спрашиваю о твоем возрасте.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,2. Meine Familie und ich,Geburtsort,der,die Geburtsorte,место рождения,Mein Geburtsort ist Berlin.,Мое место рождения — Берлин.,der Geburtsort | Mein Geburtsort ist Berlin.,место рождения | Мое место рождения — Берлин.,1,21.07.2026,0,0,1. Знакомство_Meine Familie und Ich
10.07.2026,3. Deutsch lernen,vhs_Lektion 3_Deutsch lernen,-,Lektionen,урок,Wir lernen Lektion 3.,Мы учим третий урок.,Lektion 3_Deutsch lernen | Wir lernen Lektion 3.,урок | Мы учим третий урок.,1,21.07.2026,0,0,1. Знакомство_Учеба
10.07.2026,1. Знакомство,Stuhl,der,die Stühle,стул,Der Stuhl ist neu.,Этот стул новый.,der Stuhl | Der Stuhl ist neu.,стул | Этот стул новый.,1,21.07.2026,0,0,1. Знакомство_Учеба
10.07.2026,1. Знакомство,Stift,der,die Stifte,"карандаш, ручка",Ich schreibe mit dem Stift.,Я пишу ручкой.,der Stift | Ich schreibe mit dem Stift.,"карандаш, ручка | Я пишу ручкой.",1,21.07.2026,0,0,1. Знакомство_Учеба
10.07.2026,1. Знакомство,Buch,das,die Bücher,книга,Ich lese ein Buch.,Я читаю книгу.,das Buch | Ich lese ein Buch.,книга | Я читаю книгу.,1,21.07.2026,0,0,1. Знакомство_Учеба
10.07.2026,1. Знакомство,Computer,der,die Computer,компьютер,Ich habe einen neuen Computer.,У меня есть новый компьютер.,der Computer | Ich habe einen neuen Computer.,компьютер | У меня есть новый компьютер.,1,21.07.2026,0,0,1. Знакомство_Учеба
10.07.2026,1. Знакомство,Maus,die,die Mäuse,мышь,Die Maus ist klein und grau.,Мышь маленькая и серая.,die Maus | Die Maus ist klein und grau.,мышь | Мышь маленькая и серая.,1,21.07.2026,0,0,1. Знакомство_Учеба
10.07.2026,1. Знакомство,Tastatur,die,die Tastaturen,клавиатура,Meine Tastatur ist neu.,Моя клавиатура новая.,die Tastatur | Meine Tastatur ist neu.,клавиатура | Моя клавиатура новая.,1,21.07.2026,0,0,1. Знакомство_Учеба
10.07.2026,1. Знакомство,Bildschirm,der,die Bildschirme,"экран, монитор",Der Bildschirm ist groß.,Экран большой.,der Bildschirm | Der Bildschirm ist groß.,"экран, монитор | Экран большой.",1,21.07.2026,0,0,1. Знакомство_Учеба
10.07.2026,1. Знакомство,Tasche,die,die Taschen,"сумка, карман",Ich habe eine Tasche.,У меня есть сумка.,die Tasche | Ich habe eine Tasche.,"сумка, карман | У меня есть сумка.",1,21.07.2026,0,0,1. Знакомство_Учеба
10.07.2026,1. Знакомство,Musik,die,die Musiken,музыка,Ich höre gerne Musik.,Я люблю слушать музыку.,die Musik | Ich höre gerne Musik.,музыка | Я люблю слушать музыку.,1,21.07.2026,0,0,1. Знакомство_Учеба
10.07.2026,1. Знакомство,Tablet,das,die Tablets,планшет,Ich habe ein neues Tablet.,У меня есть новый планшет.,das Tablet | Ich habe ein neues Tablet.,планшет | У меня есть новый планшет.,1,21.07.2026,0,0,1. Знакомство_Учеба
10.07.2026,1. Знакомство,Laptop,der,die Laptops,ноутбук,Ich habe einen neuen Laptop.,У меня есть новый ноутбук.,der Laptop | Ich habe einen neuen Laptop.,ноутбук | У меня есть новый ноутбук.,1,21.07.2026,0,0,1. Знакомство_Учеба
10.07.2026,1. Знакомство,Kuli,der,die Kulis,шариковая ручка,Hast du einen Kuli für mich?,У тебя есть для меня ручка?,der Kuli | Hast du einen Kuli für mich?,шариковая ручка | У тебя есть для меня ручка?,1,21.07.2026,0,0,1. Знакомство_Учеба
10.07.2026,1. Знакомство,neu,-,-,новый,Das ist mein neues Auto.,Это моя новая машина.,neu | Das ist mein neues Auto.,новый | Это моя новая машина.,1,21.07.2026,0,0,1. Знакомство_Учеба
10.07.2026,1. Знакомство,schön,-,-,красивый,Das Haus ist sehr schön.,Дом очень красивый.,schön | Das Haus ist sehr schön.,красивый | Дом очень красивый.,1,21.07.2026,0,0,1. Знакомство_Учеба
10.07.2026,1. Знакомство,groß,-,große,большой,Mein Haus ist sehr groß.,Мой дом очень большой.,groß | Mein Haus ist sehr groß.,большой | Мой дом очень большой.,1,21.07.2026,0,0,1. Знакомство_Учеба
10.07.2026,1. Знакомство,klein,-,-,маленький,Mein Hund ist sehr klein.,Моя собака очень маленькая.,klein | Mein Hund ist sehr klein.,маленький | Моя собака очень маленькая.,1,21.07.2026,0,0,1. Знакомство_Учеба
